cliente_id,edad,genero,region,zona,tipo_cliente,es_digital,uso_app,uso_whatsapp,interaccion_digital_score,canal_whatsapp,canal_sms,canal_llamada,canal_campo,score_riesgo,prob_default,num_atrasos_previos,dias_mora_promedio,ratio_pago,ultimo_pago_dias
1,59,F,Lima,urbano,recurrente,0,0.36,1,27,1,1,1,0,375,0.425,2,7,0.67,80
2,49,F,Centro,urbano,nuevo,0,0.68,1,67,1,1,1,1,605,0.252,2,50,0.26,52
3,35,F,Norte,rural,recurrente,1,0.09,1,56,1,1,1,0,767,0.055,3,21,0.59,81
4,63,F,Sur,urbano,nuevo,1,0.38,1,43,1,1,1,0,602,0.147,2,31,0.44,57
5,28,M,Lima,urbano,nuevo,1,0.87,1,93,1,1,1,0,737,0.87,2,19,0.15,21
6,41,M,Sur,rural,nuevo,1,0.1,1,49,1,0,1,1,540,0.014,0,20,0.27,74
7,59,M,Sur,rural,nuevo,1,0.19,1,36,1,0,1,0,696,0.338,1,49,0.23,0
8,39,M,Sur,rural,recurrente,1,0.45,0,30,0,1,1,1,535,0.754,1,38,0.25,23
9,43,F,Centro,urbano,recurrente,1,0.06,0,43,0,1,1,1,602,0.968,2,54,0.01,72
10,31,F,Lima,rural,recurrente,0,0.1,1,17,1,0,1,1,837,0.915,2,34,0.3,11
11,31,M,Sur,urbano,recurrente,1,0.46,1,49,1,1,1,0,361,0.516,3,40,0.02,29
12,44,M,Sur,urbano,nuevo,0,0.49,0,26,1,1,1,0,752,0.066,0,1,0.69,79
13,56,M,Norte,urbano,recurrente,0,0.28,1,49,1,1,1,0,793,0.204,1,12,0.67,66
14,60,F,Lima,urbano,recurrente,1,0.53,1,9,1,1,1,0,570,0.962,2,3,0.06,61
15,44,F,Centro,rural,recurrente,1,0.96,0,24,0,1,1,0,740,0.49,5,11,0.64,41
16,23,F,Lima,rural,recurrente,1,0.87,1,53,1,1,1,1,320,0.747,3,52,0.85,43
17,42,M,Lima,rural,nuevo,0,0.33,1,42,1,1,1,0,806,0.12,1,28,0.42,13
